TestCase_ID,Test_Title,Test_Data,Pre-Condition,Test_Steps,Expected_Results
TC_SIGNUP_001,Successful user registration with valid credentials,"Username: testuser123
Password: Test@123",User is on the home page and not logged in,"1. Click on ""Sign up"" link in navigation menu
2. Verify Sign up modal is displayed
3. Enter valid username in Username field
4. Enter valid password in Password field
5. Click on ""Sign up"" button","- Sign up modal opens successfully
- Alert message appears: ""Sign up successful""
- Modal closes after confirmation
- User account is created in system"
TC_SIGNUP_002,Registration fails with duplicate username,"Username: existinguser
Password: Pass@456","User is on the home page, username already exists in database","1. Click on ""Sign up"" link in navigation menu
2. Enter existing username in Username field
3. Enter valid password in Password field
4. Click on ""Sign up"" button","- Alert message appears: ""This user already exist""
- User is not registered
- Modal remains open"
TC_SIGNUP_003,Registration validation for empty username,"Username: (empty)
Password: Test@789",User is on the home page,"1. Click on ""Sign up"" link in navigation menu
2. Leave Username field empty
3. Enter valid password in Password field
4. Click on ""Sign up"" button","- Alert message appears: ""Please fill out Username and Password""
- User is not registered
- Modal remains open"
TC_SIGNUP_004,Registration validation for empty password,"Username: newuser456
Password: (empty)",User is on the home page,"1. Click on ""Sign up"" link in navigation menu
2. Enter valid username in Username field
3. Leave Password field empty
4. Click on ""Sign up"" button","- Alert message appears: ""Please fill out Username and Password""
- User is not registered
- Modal remains open"
TC_SIGNUP_005,Registration validation for all empty fields,"Username: (empty)
Password: (empty)",User is on the home page,"1. Click on ""Sign up"" link in navigation menu
2. Leave Username field empty
3. Leave Password field empty
4. Click on ""Sign up"" button","- Alert message appears: ""Please fill out Username and Password""
- User is not registered
- Modal remains open"
TC_SIGNUP_006,Close Sign up modal using Close button,N/A,User is on the home page,"1. Click on ""Sign up"" link in navigation menu
2. Verify Sign up modal is displayed
3. Click on ""Close"" button at bottom of modal","- Sign up modal closes successfully
- User returns to home page
- No data is submitted"
TC_SIGNUP_007,Close Sign up modal using X icon,N/A,User is on the home page,"1. Click on ""Sign up"" link in navigation menu
2. Verify Sign up modal is displayed
3. Click on ""X"" button at top right of modal","- Sign up modal closes successfully
- User returns to home page
- No data is submitted"
TC_SIGNUP_008,Registration with special characters in username,"Username: test@user#123
Password: Pass@123",User is on the home page,"1. Click on ""Sign up"" link in navigation menu
2. Enter username with special characters
3. Enter valid password in Password field
4. Click on ""Sign up"" button","- System accepts or rejects special characters appropriately
- Appropriate validation message is shown
- Registration succeeds or fails based on validation rules"
TC_SIGNUP_009,Registration with minimum length password,"Username: testuser999
Password: a",User is on the home page,"1. Click on ""Sign up"" link in navigation menu
2. Enter valid username in Username field
3. Enter single character password
4. Click on ""Sign up"" button","- System validates password length
- Appropriate message is displayed if minimum length not met
- Registration succeeds or fails based on password policy"
TC_SIGNUP_010,Registration with maximum length username,"Username: verylongusernametestingmaximumlengthacceptance123456789
Password: Pass@123",User is on the home page,"1. Click on ""Sign up"" link in navigation menu
2. Enter very long username (50+ characters)
3. Enter valid password in Password field
4. Click on ""Sign up"" button","- System validates username length
- Registration succeeds or appropriate validation message shown
- Username is truncated or rejected if exceeds maximum length"
